English_title,Year,Dir_or_prod,Studio,Award_mains,Mains_cat,Award_fest,Fest_cat,Production_country
The Racket,1927-01-01,Howard Hughes,The Caddo Company ,1,Oscar - Best Film,0,,
Two Arabian Knights,1927-01-01,Lewis Milestone ,,1,Oscar - Best Director,0,,
The Circus,1927-01-01,Charlie Chaplin ,,1,Oscar - Best Director,0,,
Sadie Thompson,1927-01-01,George Barnes,Metro-Goldwyn-Mayer ,1,Oscar - Best Cinematography,0,,
The Crowd,1927-01-01,King Vidor ,,1,Oscar - Best Director,0,,
The Devil Dancer,1927-01-01,George Barnes,Fox ,1,Oscar - Best Cinematography,0,,
The Magic Flame,1927-01-01,George Barnes,The Caddo Company ,1,Oscar - Best Cinematography,0,,
Wings,1927-01-01,"Lucien Hubbard, Jesse L. Lasky, B.P. Schulberg , & Adolph Zukor",Famous Players–Lasky ,1,Oscar - Best Film,0,,
Speedy,1927-01-01,Ted Wilde ,,1,Oscar - Best Director,0,,
Sorrell and Son,1927-01-01,Herbert Brenon ,,1,Oscar - Best Director,0,,
7th Heaven,1927-01-01,"Frank Borzage , William Fox",Fox ,1,"Oscar - Best Director, Oscar - Best Film",0,,
Sunrise: A Song of Two Humans,1927-01-01,Charles Rosher Karl Struss,Famous Players–Lasky ,1,Oscar - Best Cinematography,0,,
The Broadway Melody,1928-01-01,"Harry Beaumont, Irving Thalberg & Lawrence Weingarten",Metro-Goldwyn-Mayer ,1,"Oscar - Best Director, Oscar - Best Film",0,,
White Shadows in the South Seas,1928-01-01,Clyde De Vinna,Feature Productions ,1,Oscar - Best Cinematography,0,,
Street Angel,1928-01-01,Ernest Palmer,Cosmopolitan ,1,Oscar - Best Cinematography,0,,
4 Devils,1928-01-01,Ernest Palmer,Fox ,1,Oscar - Best Cinematography,0,,
Our Dancing Daughters,1928-01-01,George Barnes,Universal ,1,Oscar - Best Cinematography,0,,
Weary River,1928-01-01,Frank Lloyd,,1,Oscar - Best Director,0,,
Hollywood Revue,1928-01-01,Irving Thalberg & Harry Rapf,Metro-Goldwyn-Mayer ,1,Oscar - Best Film,0,,
Drag,1928-01-01,Frank Lloyd,,1,Oscar - Best Director,0,,
Madame X,1928-01-01,Lionel Barrymore,,1,Oscar - Best Director,0,,
The Divine Lady,1928-01-01,"John F. Seitz, Frank Lloyd",Metro-Goldwyn-Mayer ,1,"Oscar - Best Cinematography, Oscar - Best Director",0,,
Alibi,1928-01-01,Roland West,Feature Productions ,1,Oscar - Best Film,0,,
In Old Arizona,1928-01-01,"Arthur Edeson, Irving Cummings, Winfield Sheehan",Paramount Famous Lasky,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The Love Parade,1929-01-01,"Victor Milner, Ernst Lubitsch, Ernst Lubitsch",Fox,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The Divorcee,1929-01-01,"Robert Z. Leonard, Robert Z. Leonard",Metro-Goldwyn-Mayer ,1,"Oscar - Best Director, Oscar - Best Film",0,,
Disraeli,1929-01-01,Jack L. Warner & Darryl F. Zanuck,Warner Bros. ,1,Oscar - Best Film,0,,
With Byrd at the South Pole,1929-01-01,Joseph T. Rucker and Willard Van der Veer,Warner Bros. ,1,Oscar - Best Cinematography,0,,
Anna Christie,1929-01-01,"William H. Daniels, Clarence Brown",Paramount Famous Lasky ,1,"Oscar - Best Cinematography, Oscar - Best Director",0,,
Hallelujah!,1929-01-01,King Vidor,,1,Oscar - Best Director,0,,
The Big House,1929-01-01,Irving Thalberg,Cosmopolitan ,1,Oscar - Best Film,0,,
Hell's Angels,1929-01-01,Tony Gaudio and Harry Perry,RKO Radio ,1,Oscar - Best Cinematography,0,,
Romance,1929-01-01,Clarence Brown,,1,Oscar - Best Director,0,,
All Quiet on the Western Front,1929-01-01,"Arthur Edeson, James Friend, Lewis Milestone, Carl Laemmle Jr., Malte Grunert",Metro-Goldwyn-Mayer ,1,"Oscar - Best Cinematography, Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film, Oscar - Best Film",0,,
Morocco,1930-01-01,"Lee Garmes, Josef von Sternberg",Metro-Goldwyn-Mayer ,1,"Oscar - Best Cinematography, Oscar - Best Director",0,,
The Right to Love,1930-01-01,Charles Lang,Metro-Goldwyn-Mayer ,1,Oscar - Best Cinematography,0,,
Trader Horn,1930-01-01,"Irving Thalberg ,producer",Metro-Goldwyn-Mayer ,1,Oscar - Best Film,0,,
Skippy,1930-01-01,"Norman Taurog, Jesse L. Lasky, B.P. Schulberg, & Adolph Zukor",Paramount Publix ,1,"Oscar - Best Director, Oscar - Best Film",0,,
Cimarron,1930-01-01,"Edward Cronjager, Wesley Ruggles, William LeBaron",Paramount Publix ,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Tabu: A Story of the South Seas,1930-01-01,Floyd Crosby,The Caddo Company ,1,Oscar - Best Cinematography,0,,
East Lynne,1930-01-01,,Fox,1,Oscar - Best Film,0,,
A Free Soul,1930-01-01,Clarence Brown,,1,Oscar - Best Director,0,,
The Front Page,1930-01-01,"Lewis Milestone, Howard Hughes & Lewis Milestone",The Caddo Company ,1,"Oscar - Best Director, Oscar - Best Film",0,,
Svengali,1930-01-01,Barney McGill,Samuel Goldwyn Productions ,1,Oscar - Best Cinematography,0,,
Dr. Jekyll and Mr. Hyde,1931-01-01,"Karl Struss, Joseph Ruttenberg",First National ,1,"Oscar - Best Cinematography, Oscar - Best Cinematography",0,,
Five Star Final,1931-01-01,Hal B. Wallis,First National ,1,Oscar - Best Film,0,,
One Hour with You,1931-01-01,Ernst Lubitsch,Paramount Publix ,1,Oscar - Best Film,0,,
Bad Girl,1931-01-01,Frank Borzage,Fox,1,"Oscar - Best Director, Oscar - Best Film",0,,
Grand Hotel,1931-01-01,Irving Thalberg,Metro-Goldwyn-Mayer ,1,Oscar - Best Film,0,,
Arrowsmith,1931-01-01,"Ray June, Samuel Goldwyn",Metro-Goldwyn-Mayer ,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
The Champ,1931-01-01,"King Vidor, King Vidor",Metro-Goldwyn-Mayer ,1,"Oscar - Best Director, Oscar - Best Film",0,,
The Smiling Lieutenant,1931-01-01,Ernst Lubitsch,Paramount Publix ,1,Oscar - Best Film,0,,
Shanghai Express,1931-01-01,"Lee Garmes, Josef von Sternberg, Adolph Zukor",Fox,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
State Fair,1932-01-01,,Fox,1,Oscar - Best Film,0,,
Cavalcade,1932-01-01,"Frank Lloyd, Frank Lloyd & Winfield Sheehan",Fox ,1,"Oscar - Best Director, Oscar - Best Film",0,,
Lady for a Day,1932-01-01,Frank Capra,Columbia,1,"Oscar - Best Director, Oscar - Best Film",0,,
Smilin' Through,1932-01-01,,Metro-Goldwyn-Mayer,1,Oscar - Best Film,0,,
A Farewell to Arms,1932-01-01,Charles Lang,Paramount Publix ,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
The Sign of the Cross,1932-01-01,Karl Struss,Paramount Publix ,1,Oscar - Best Cinematography,0,,
She Done Him Wrong,1932-01-01,,Paramount,1,Oscar - Best Film,0,,
The Private Life of Henry VIII,1932-01-01,,London Films,1,Oscar - Best Film,0,,
42nd Street,1932-01-01,,Warner Bros.,1,Oscar - Best Film,0,,
Reunion in Vienna,1932-01-01,George Folsey,Paramount Publix ,1,Oscar - Best Cinematography,0,,
I Am a Fugitive from a Chain Gang,1932-01-01,,Warner Bros.,1,Oscar - Best Film,0,,
It Happened One Night,1934-01-01,"Frank Capra, Frank Capra & Harry Cohn",Columbia ,1,"Oscar - Best Director, Oscar - Best Film",0,,
The Gay Divorcee,1934-01-01,,RKO Radio,1,Oscar - Best Film,0,,
Flirtation Walk,1934-01-01,,First National,1,Oscar - Best Film,0,,
The Barretts of Wimpole Street,1934-01-01,,Metro-Goldwyn-Mayer,1,Oscar - Best Film,0,,
One Night of Love,1934-01-01,Victor Schertzinger,Columbia,1,"Oscar - Best Director, Oscar - Best Film",0,,
Here Comes the Navy,1934-01-01,,Warner Bros.,1,Oscar - Best Film,0,,
The Thin Man,1934-01-01,W. S. Van Dyke,Metro-Goldwyn-Mayer,1,"Oscar - Best Director, Oscar - Best Film",0,,
Operator 13,1934-01-01,George Folsey,Paramount,1,Oscar - Best Cinematography,0,,
Viva Villa!,1934-01-01,,Metro-Goldwyn-Mayer,1,Oscar - Best Film,0,,
The White Parade,1934-01-01,production company,Jesse L. Lasky ,1,Oscar - Best Film,0,,
The Affairs of Cellini,1934-01-01,Charles Rosher,Warner Bros.,1,Oscar - Best Cinematography,0,,
The House of Rothschild,1934-01-01,,20th Century,1,Oscar - Best Film,0,,
Imitation of Life,1934-01-01,,Universal,1,Oscar - Best Film,0,,
Cleopatra,1934-01-01,"Victor Milner, Leon Shamroy, Walter Wanger",Fox ,1,"Oscar - Best Cinematography, Oscar - Best Cinematography, Oscar - Best Film, Oscar - Best Film",0,,
David Copperfield,1935-01-01,,Metro-Goldwyn-Mayer,1,Oscar - Best Film,0,,
Naughty Marietta,1935-01-01,,Metro-Goldwyn-Mayer,1,Oscar - Best Film,0,,
Ruggles of Red Gap,1935-01-01,,Paramount,1,Oscar - Best Film,0,,
Barbary Coast,1935-01-01,Ray June,Columbia,1,Oscar - Best Cinematography,0,,
The Crusades,1935-01-01,Victor Milner,RKO Radio,1,Oscar - Best Cinematography,0,,
Captain Blood,1935-01-01,Michael Curtiz ,Cosmopolitan,1,"Oscar - Best Director, Oscar - Best Film",0,,
Alice Adams,1935-01-01,,RKO Radio,1,Oscar - Best Film,0,,
The Lives of a Bengal Lancer,1935-01-01,Henry Hathaway,Paramount,1,"Oscar - Best Director, Oscar - Best Film",0,,
The Informer,1935-01-01,John Ford,RKO Radio,1,"Oscar - Best Director, Oscar - Best Film",0,,
Broadway Melody of 1936,1935-01-01,,Metro-Goldwyn-Mayer,1,Oscar - Best Film,0,,
A Midsummer Night's Dream,1935-01-01,Hal Mohr ,Warner Bros.,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Les Misérables,1935-01-01,"Gregg Toland, Tim Bevan, Eric Fellner, Debra Hayward, and Cameron Mackintosh, Ladj Ly, Ladj Ly, Ladj Ly",London Films,1,"Oscar - Best Cinematography, Oscar - Best Film, Oscar - Best Film, César - Best Director, César - Best Film",0,,France
Top Hat,1935-01-01,,RKO Radio,1,Oscar - Best Film,0,,
The Story of Louis Pasteur,1936-01-01,,Cosmopolitan,1,Oscar - Best Film,0,,
Three Smart Girls,1936-01-01,,Universal,1,Oscar - Best Film,0,,
Anthony Adverse,1936-01-01,Tony Gaudio,Metro-Goldwyn-Mayer,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Dodsworth,1936-01-01,"William Wyler, Samuel Goldwyn",Samuel Goldwyn Productions ,1,"Oscar - Best Director, Oscar - Best Film",0,,
Mr. Deeds Goes to Town,1936-01-01,Frank Capra,Columbia,1,"Oscar - Best Director, Oscar - Best Film",0,,
My Man Godfrey,1936-01-01,Gregory La Cava,,1,Oscar - Best Director,0,,
A Tale of Two Cities,1936-01-01,,Metro-Goldwyn-Mayer,1,Oscar - Best Film,0,,
Libeled Lady,1936-01-01,,Metro-Goldwyn-Mayer,1,Oscar - Best Film,0,,
The Gorgeous Hussy,1936-01-01,George Folsey,Columbia ,1,Oscar - Best Cinematography,0,,
The Great Ziegfeld,1936-01-01,"Robert Z. Leonard, Hunt Stromberg",Metro-Goldwyn-Mayer ,1,"Oscar - Best Director, Oscar - Best Film",0,,
San Francisco,1936-01-01,W. S. Van Dyke,Metro-Goldwyn-Mayer,1,"Oscar - Best Director, Oscar - Best Film",0,,
The General Died at Dawn,1936-01-01,Victor Milner,Fox,1,Oscar - Best Cinematography,0,,
The Garden of Allah,1936-01-01,W. Howard Greene and Harold Rosson,Paramount,1,Oscar - Best Cinematography,0,,
One Hundred Men and a Girl,1937-01-01,,Universal,1,Oscar - Best Film,0,,
Lost Horizon,1937-01-01,,Columbia,1,Oscar - Best Film,0,,
Dead End,1937-01-01,"Gregg Toland, Samuel Goldwyn",Warner Bros.,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
The Good Earth,1937-01-01,"Karl Freund, Sidney Franklin",RKO Radio,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Captains Courageous,1937-01-01,,Metro-Goldwyn-Mayer,1,Oscar - Best Film,0,,
The Life of Emile Zola,1937-01-01,"William Dieterle, Henry Blanke",Warner Bros. ,1,"Oscar - Best Director, Oscar - Best Film",0,,
Wings over Honolulu,1937-01-01,Joseph Valentine,20th Century,1,Oscar - Best Cinematography,0,,
Stage Door,1937-01-01,Gregory La Cava,RKO Radio,1,"Oscar - Best Director, Oscar - Best Film",0,,
A Star Is Born,1937-01-01,"W. Howard Greene, Robert Surtees, Matthew Libatique, William A. Wellman, Bill Gerber, Bradley Cooper, and Lynette Howell Taylor",Columbia,1,"Oscar - Best Cinematography, Oscar - Best Cinematography, Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film, Oscar - Best Film",0,,
The Awful Truth,1937-01-01,Leo McCarey,Columbia,1,"Oscar - Best Director, Oscar - Best Film",0,,
In Old Chicago,1937-01-01,,20th Century-Fox,1,Oscar - Best Film,0,,
Sweethearts,1938-01-01,Oliver T. Marsh and Allen Davey,Paramount,1,Oscar - Best Cinematography,0,,
Vivacious Lady,1938-01-01,Robert De Grasse,Paramount,1,Oscar - Best Cinematography,0,,
Suez,1938-01-01,J. Peverell Marley,RKO Radio,1,Oscar - Best Cinematography,0,,
Army Girl,1938-01-01,Ernest Miller and Harry J. Wild,Metro-Goldwyn-Mayer ,1,Oscar - Best Cinematography,0,,
The Adventures of Robin Hood,1938-01-01,,Warner Bros.-First National,1,Oscar - Best Film,0,,
Test Pilot,1938-01-01,,Metro-Goldwyn-Mayer,1,Oscar - Best Film,0,,
You Can't Take It with You,1938-01-01,"Joseph Walker, Frank Capra, Frank Capra",Warner Bros.,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Algiers,1938-01-01,James Wong Howe,Jesse L. Lasky ,1,Oscar - Best Cinematography,0,,
Alexander's Ragtime Band,1938-01-01,,20th Century-Fox,1,Oscar - Best Film,0,,
Four Daughters,1938-01-01,Michael Curtiz,Warner Bros.-First National,1,"Oscar - Best Director, Oscar - Best Film",0,,
The Citadel,1938-01-01,King Vidor,Metro-Goldwyn-Mayer,1,"Oscar - Best Director, Oscar - Best Film",0,,
Mad About Music,1938-01-01,Joseph Valentine,Cosmopolitan,1,Oscar - Best Cinematography,0,,
Boys Town,1938-01-01,Norman Taurog,Metro-Goldwyn-Mayer,1,"Oscar - Best Director, Oscar - Best Film",0,,
Jezebel,1938-01-01,Ernest Haller,Metro-Goldwyn-Mayer,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Grand Illusion,1938-01-01,,Réalisation d'art Cinématographique,1,Oscar - Best Film,0,,
Pygmalion,1938-01-01,,Metro-Goldwyn-Mayer,1,Oscar - Best Film,0,,
The Buccaneer,1938-01-01,Victor Milner,RKO Radio,1,Oscar - Best Cinematography,0,,
Angels with Dirty Faces,1938-01-01,Michael Curtiz,,1,Oscar - Best Director,0,,
The Great Waltz,1938-01-01,Joseph Ruttenberg,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography,0,,
Merrily We Live,1938-01-01,Norbert Brodine,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography,0,,
The Young in Heart,1938-01-01,Leon Shamroy,20th Century,1,Oscar - Best Cinematography,0,,
Dark Victory,1939-01-01,,Warner Bros.-First National,1,Oscar - Best Film,0,,
The Private Lives of Elizabeth and Essex,1939-01-01,Sol Polito and W. Howard Greene,Columbia,1,Oscar - Best Cinematography,0,,
Of Mice and Men,1939-01-01,production company,Hal Roach ,1,Oscar - Best Film,0,,
Wuthering Heights,1939-01-01,"Gregg Toland, William Wyler",Metro-Goldwyn-Mayer ,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Gone with the Wind,1939-01-01,"Ernest Haller and Ray Rennahan, Victor Fleming, David O. Selznick",Metro-Goldwyn-Mayer,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
"Goodbye, Mr. Chips",1939-01-01,Sam Wood,Metro-Goldwyn-Mayer,1,"Oscar - Best Director, Oscar - Best Film",0,,
Love Affair,1939-01-01,,RKO Radio,1,Oscar - Best Film,0,,
Mr. Smith Goes to Washington,1939-01-01,Frank Capra,Columbia,1,"Oscar - Best Director, Oscar - Best Film",0,,
The Wizard of Oz,1939-01-01,,Metro-Goldwyn-Mayer,1,Oscar - Best Film,0,,
Ninotchka,1939-01-01,,Metro-Goldwyn-Mayer,1,Oscar - Best Film,0,,
Stagecoach,1939-01-01,"Bert Glennon, John Ford, production company",Warner Bros.,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Our Town,1940-01-01,production company,Sol Lesser ,1,Oscar - Best Film,0,,
Boom Town,1940-01-01,Harold Rosson,Warner Bros. ,1,Oscar - Best Cinematography,0,,
The Blue Bird,1940-01-01,Arthur C. Miller and Ray Rennahan,Selznick International Pictures,1,Oscar - Best Cinematography,0,,
Rebecca,1940-01-01,"George Barnes, Alfred Hitchcock, David O. Selznick",Metro-Goldwyn-Mayer,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The Long Voyage Home,1940-01-01,Gregg Toland,Samuel Goldwyn Productions ,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Spring Parade,1940-01-01,Joseph Valentine,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography,0,,
The Grapes of Wrath,1940-01-01,John Ford,20th Century-Fox,1,"Oscar - Best Director, Oscar - Best Film",0,,
Kitty Foyle,1940-01-01,Sam Wood,RKO Radio,1,"Oscar - Best Director, Oscar - Best Film",0,,
Abe Lincoln in Illinois,1940-01-01,James Wong Howe,Cosmopolitan,1,Oscar - Best Cinematography,0,,
Foreign Correspondent,1940-01-01,"Rudolph Maté, production company",Columbia,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
The Philadelphia Story,1940-01-01,George Cukor,Metro-Goldwyn-Mayer,1,"Oscar - Best Director, Oscar - Best Film",0,,
"All This, and Heaven Too",1940-01-01,Ernest Haller,Metro-Goldwyn-Mayer,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
The Letter,1940-01-01,"Tony Gaudio, William Wyler, Manoel de Oliveira",Metro-Goldwyn-Mayer,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,"Portugal, France, Spain"
Bitter Sweet,1940-01-01,Oliver T. Marsh and Allen M. Davey,RKO Radio,1,Oscar - Best Cinematography,0,,
Waterloo Bridge,1940-01-01,Joseph Ruttenberg,20th Century-Fox,1,Oscar - Best Cinematography,0,,
The Thief of Bagdad,1940-01-01,Georges Périnal,Universal,1,Oscar - Best Cinematography,0,,
North West Mounted Police,1940-01-01,Victor Milner and W. Howard Greene,Warner Bros.-First National,1,Oscar - Best Cinematography,0,,
"Arise, My Love",1940-01-01,Charles Lang,Universal,1,Oscar - Best Cinematography,0,,
Northwest Passage,1940-01-01,Sidney Wagner and William V. Skall,20th Century-Fox,1,Oscar - Best Cinematography,0,,
The Great Dictator,1940-01-01,,Charles Chaplin Productions,1,Oscar - Best Film,0,,
Down Argentine Way,1940-01-01,Leon Shamroy and Ray Rennahan,Columbia ,1,Oscar - Best Cinematography,0,,
Blood and Sand,1941-01-01,Ernest Palmer and Ray Rennahan,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography,0,,
That Hamilton Woman,1941-01-01,Rudolph Maté,RKO Radio,1,Oscar - Best Cinematography,0,,
How Green Was My Valley,1941-01-01,"Arthur C. Miller, John Ford, Darryl F. Zanuck",Metro-Goldwyn-Mayer,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Hold Back the Dawn,1941-01-01,Leo Tover,Metro-Goldwyn-Mayer,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
The Maltese Falcon,1941-01-01,,Warner Bros.,1,Oscar - Best Film,0,,
The Little Foxes,1941-01-01,"William Wyler, Samuel Goldwyn",Samuel Goldwyn Productions ,1,"Oscar - Best Director, Oscar - Best Film",0,,
Louisiana Purchase,1941-01-01,Harry Hallenberger and Ray Rennahan,Selznick International Pictures ,1,Oscar - Best Cinematography,0,,
One Foot in Heaven,1941-01-01,,Warner Bros.,1,Oscar - Best Film,0,,
The Chocolate Soldier,1941-01-01,Karl Freund,Warner Bros.-First National,1,Oscar - Best Cinematography,0,,
Dive Bomber,1941-01-01,Bert Glennon,Samuel Goldwyn Productions,1,Oscar - Best Cinematography,0,,
Citizen Kane,1941-01-01,"Gregg Toland, Orson Welles",Réalisation d'art Cinématographique,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Blossoms in the Dust,1941-01-01,Karl Freund and W. Howard Greene,Metro-Goldwyn-Mayer,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Billy the Kid,1941-01-01,William V. Skall and Leonard Smith,Walter Wanger ,1,Oscar - Best Cinematography,0,,
Here Comes Mr. Jordan,1941-01-01,"Joseph Walker, Alexander Hall",Metro-Goldwyn-Mayer,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Aloma of the South Seas,1941-01-01,"Wilfred M. Cline, Karl Struss and William E. Snyder",Hal Roach ,1,Oscar - Best Cinematography,0,,
Sun Valley Serenade,1941-01-01,Edward Cronjager,Warner Bros.-First National,1,Oscar - Best Cinematography,0,,
Suspicion,1941-01-01,,RKO Radio,1,Oscar - Best Film,0,,
Sergeant York,1941-01-01,"Sol Polito, Howard Hawks",Selznick International Pictures ,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Sundown,1941-01-01,Charles Lang,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography,0,,
This Above All,1942-01-01,Arthur C. Miller,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography,0,,
Random Harvest,1942-01-01,Mervyn LeRoy,Metro-Goldwyn-Mayer,1,"Oscar - Best Director, Oscar - Best Film",0,,
The Black Swan,1942-01-01,Leon Shamroy,Columbia,1,Oscar - Best Cinematography,0,,
The Talk of the Town,1942-01-01,Ted Tetzlaff,Metro-Goldwyn-Mayer,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Kings Row,1942-01-01,"James Wong Howe, Sam Wood",20th Century-Fox,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Yankee Doodle Dandy,1942-01-01,Michael Curtiz,Warner Bros.,1,"Oscar - Best Director, Oscar - Best Film",0,,
Mrs. Miniver,1942-01-01,"Joseph Ruttenberg, William Wyler, Sidney Franklin",Walter Wanger ,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The Pied Piper,1942-01-01,Edward Cronjager,Warner Bros.,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Jungle Book,1942-01-01,W. Howard Greene,Warner Bros.,1,Oscar - Best Cinematography,0,,
Reap the Wild Wind,1942-01-01,Victor Milner and William V. Skall,Warner Bros.,1,Oscar - Best Cinematography,0,,
49th Parallel,1942-01-01,,Ortus,1,Oscar - Best Film,0,,
Wake Island,1942-01-01,John Farrow,Paramount,1,"Oscar - Best Director, Oscar - Best Film",0,,
To the Shores of Tripoli,1942-01-01,Edward Cronjager and William V. Skall,Warner Bros.,1,Oscar - Best Cinematography,0,,
"Take a Letter, Darling",1942-01-01,John J. Mescall,Sol Lesser ,1,Oscar - Best Cinematography,0,,
The Pride of the Yankees,1942-01-01,"Rudolph Maté, Samuel Goldwyn",Argosy-Wanger,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
The Magnificent Ambersons,1942-01-01,Stanley Cortez,Charles Chaplin Productions,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Moontide,1942-01-01,Charles G. Clarke,RKO Radio,1,Oscar - Best Cinematography,0,,
Captains of the Clouds,1942-01-01,Sol Polito,Samuel Goldwyn Productions ,1,Oscar - Best Cinematography,0,,
Arabian Nights,1942-01-01,"Milton Krasner, William V. Skall and W. Howard Greene, Pier Paolo Pasolini",Paramount,1,Oscar - Best Cinematography,1,Cannes - Grand Prix,"Italy, France"
Ten Gentlemen from West Point,1942-01-01,Leon Shamroy,20th Century-Fox ,1,Oscar - Best Cinematography,0,,
The Ox-Bow Incident,1943-01-01,,20th Century-Fox,1,Oscar - Best Film,0,,
"Hello, Frisco, Hello",1943-01-01,Charles G. Clarke and Allen M. Davey,Two Cities Films,1,Oscar - Best Cinematography,0,,
Watch on the Rhine,1943-01-01,,Warner Bros.,1,Oscar - Best Film,0,,
Air Force,1943-01-01,"James Wong Howe, Elmer Dyer and Charles A. Marshall",Ortus,1,Oscar - Best Cinematography,0,,
In Which We Serve,1943-01-01,,Two Cities Films,1,Oscar - Best Film,0,,
The Song of Bernadette,1943-01-01,"Arthur C. Miller, Henry King",Metro-Goldwyn-Mayer ,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The North Star,1943-01-01,James Wong Howe,Columbia,1,Oscar - Best Cinematography,0,,
Five Graves to Cairo,1943-01-01,John F. Seitz,20th Century-Fox,1,Oscar - Best Cinematography,0,,
Thousands Cheer,1943-01-01,George Folsey,Columbia,1,Oscar - Best Cinematography,0,,
Heaven Can Wait,1943-01-01,"Edward Cronjager, William A. Fraker, Ernst Lubitsch, Warren Beatty & Buck Henry, Warren Beatty",Metro-Goldwyn-Mayer,1,"Oscar - Best Cinematography, Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Director, Oscar - Best Film, Oscar - Best Film",0,,
Lassie Come Home,1943-01-01,Leonard Smith,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography,0,,
So Proudly We Hail!,1943-01-01,Charles Lang,Warner Bros.,1,Oscar - Best Cinematography,0,,
Corvette K-225,1943-01-01,Tony Gaudio,Mercury,1,Oscar - Best Cinematography,0,,
For Whom the Bell Tolls,1943-01-01,Ray Rennahan,20th Century-Fox,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
The Human Comedy,1943-01-01,"Harry Stradling, Clarence Brown",Samuel Goldwyn Productions ,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The More the Merrier,1943-01-01,George Stevens,Columbia,1,"Oscar - Best Director, Oscar - Best Film",0,,
Madame Curie,1943-01-01,Joseph Ruttenberg,Metro-Goldwyn-Mayer,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Casablanca,1943-01-01,"Arthur Edeson, Michael Curtiz, Hal B. Wallis",Warner Bros.,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Phantom of the Opera,1943-01-01,Hal Mohr and W. Howard Greene,Paramount,1,Oscar - Best Cinematography,0,,
Sahara,1943-01-01,Rudolph Maté,Paramount,1,Oscar - Best Cinematography,0,,
The Uninvited,1944-01-01,Charles Lang,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography,0,,
The White Cliffs of Dover,1944-01-01,George Folsey,Rainbow Productions,1,Oscar - Best Cinematography,0,,
Home in Indiana,1944-01-01,Edward Cronjager,Two Cities Films,1,Oscar - Best Cinematography,0,,
Meet Me in St. Louis,1944-01-01,George Folsey,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography,0,,
Laura,1944-01-01,"Joseph LaShelle, Otto Preminger",20th Century-Fox,1,"Oscar - Best Cinematography, Oscar - Best Director",0,,
Kismet,1944-01-01,Charles Rosher,Liberty Films,1,Oscar - Best Cinematography,0,,
