Year of Film Release,Film,Film Studio,Film Studio/Producer(s),Producer(s),Production Company,Nominations,Wins
1978 (51st),Heaven Can Wait,,,Warren Beatty,,,
1978 (51st),Midnight Express,,,Alan Marshall and David Puttnam,,,
1978 (51st),An Unmarried Woman,,,Paul Mazursky and Anthony Ray,,,
1979 (52nd),,,,,,,
1979 (52nd),Kramer vs. Kramer,,,Stanley R. Jaffe,,,
1979 (52nd),All That Jazz,,,Robert Alan Aurthur,,,
1979 (52nd),Apocalypse Now,,,"Francis Ford Coppola, Fred Roos, Gray Frederickson, and Tom Sternberg",,,
1979 (52nd),Breaking Away,,,Peter Yates,,,
1979 (52nd),Norma Rae,,,Tamara Asseyev and Alex Rose,,,
1980 (53rd),,,,,,,
1980 (53rd),Ordinary People,,,Ronald L. Schwary,,,
1980 (53rd),Coal Miner's Daughter,,,Bernard Schwartz,,,
1980 (53rd),The Elephant Man,,,Jonathan Sanger,,,
1980 (53rd),Raging Bull,,,Irwin Winkler and Robert Chartoff,,,
1980 (53rd),Tess,,,Claude Berri and Timothy Burrill,,,
1981 (54th),,,,,,,
1981 (54th),Chariots of Fire,,,David Puttnam,,,
1981 (54th),Atlantic City,,,Denis Héroux,,,
1981 (54th),On Golden Pond,,,Bruce Gilbert,,,
1981 (54th),Raiders of the Lost Ark,,,Frank Marshall,,,
1981 (54th),Reds,,,Warren Beatty,,,
1982 (55th),,,,,,,
1982 (55th),Gandhi,,,Richard Attenborough,,,
1982 (55th),E.T. the Extra-Terrestrial,,,Steven Spielberg and Kathleen Kennedy,,,
1982 (55th),Missing,,,Edward Lewis and Mildred Lewis,,,
1982 (55th),Tootsie,,,Sydney Pollack and Dick Richards,,,
1982 (55th),The Verdict,,,Richard D. Zanuck and David Brown,,,
1983 (56th),,,,,,,
1983 (56th),Terms of Endearment,,,James L. Brooks,,,
1983 (56th),The Big Chill,,,Michael Shamberg,,,
1983 (56th),The Dresser,,,Peter Yates,,,
1983 (56th),The Right Stuff,,,Irwin Winkler and Robert Chartoff,,,
1983 (56th),Tender Mercies,,,Philip S. Hobel,,,
1984 (57th),,,,,,,
1984 (57th),Amadeus,,,Saul Zaentz,,,
1984 (57th),The Killing Fields,,,David Puttnam,,,
1984 (57th),A Passage to India,,,John Brabourne and Richard B. Goodwin,,,
1984 (57th),Places in the Heart,,,Arlene Donovan,,,
1984 (57th),A Soldier's Story,,,"Norman Jewison, Ronald L. Schwary, and Patrick Palmer",,,
1985 (58th),,,,,,,
1985 (58th),Out of Africa,,,Sydney Pollack,,,
1985 (58th),The Color Purple,,,"Steven Spielberg, Kathleen Kennedy, Frank Marshall, and Quincy Jones",,,
1985 (58th),Kiss of the Spider Woman,,,David Weisman,,,
1985 (58th),Prizzi's Honor,,,John Foreman,,,
1985 (58th),Witness,,,Edward S. Feldman,,,
1986 (59th),,,,,,,
1986 (59th),Platoon,,,Arnold Kopelson,,,
1986 (59th),Children of a Lesser God,,,Burt Sugarman and Patrick J. Palmer,,,
1986 (59th),Hannah and Her Sisters,,,Robert Greenhut,,,
1986 (59th),The Mission,,,Fernando Ghia and David Puttnam,,,
1986 (59th),A Room with a View,,,Ismail Merchant,,,
1987 (60th),,,,,,,
1987 (60th),The Last Emperor,,,Jeremy Thomas,,,
1987 (60th),Broadcast News,,,James L. Brooks,,,
1987 (60th),Fatal Attraction,,,Stanley R. Jaffe and Sherry Lansing,,,
1987 (60th),Hope and Glory,,,John Boorman,,,
1987 (60th),Moonstruck,,,Patrick J. Palmer and Norman Jewison,,,
1988 (61st),,,,,,,
1988 (61st),Rain Man,,,Mark Johnson,,,
1988 (61st),The Accidental Tourist,,,"Lawrence Kasdan, Charles Okun, and Michael Grillo",,,
1988 (61st),Dangerous Liaisons,,,Norma Heyman and Hank Moonjean,,,
1988 (61st),Mississippi Burning,,,Frederick Zollo and Robert F. Colesberry,,,
1988 (61st),Working Girl,,,Douglas Wick,,,
1989 (62nd),,,,,,,
1989 (62nd),Driving Miss Daisy,,,Richard D. Zanuck and Lili Fini Zanuck,,,
1989 (62nd),Born on the Fourth of July,,,A. Kitman Ho and Oliver Stone,,,
1989 (62nd),Dead Poets Society,,,"Steven Haft, Paul Junger Witt, and Tony Thomas",,,
1989 (62nd),Field of Dreams,,,Lawrence Gordon and Charles Gordon,,,
1989 (62nd),My Left Foot,,,Noel Pearson,,,
1990 (63rd),,,,,,,
1990 (63rd),Dances with Wolves,,,Jim Wilson and Kevin Costner,,,
1990 (63rd),Awakenings,,,Walter Parkes and Lawrence Lasker,,,
1990 (63rd),Ghost,,,Lisa Weinstein,,,
1990 (63rd),The Godfather Part III,,,Francis Ford Coppola,,,
1990 (63rd),Goodfellas,,,Irwin Winkler,,,
1991 (64th),,,,,,,
1991 (64th),The Silence of the Lambs,,,"Edward Saxon, Kenneth Utt, and Ron Bozman",,,
1991 (64th),Beauty and the Beast,,,Don Hahn,,,
