Superlative,Men,Men.1,Women,Women.1,Year,Winner and nominees,English title,Original title,Winners and nominees,Wins,Director,Nominations
,,,,,2014 (39th),Albert Dupontel,9 Month Stretch,Neuf mois ferme,,,,
,,,,,2014 (39th),Asghar Farhadi,The Past,Le Passé,,,,
,,,,,2014 (39th),Guillaume Gallienne,"Me, Myself and Mum","Les Garçons et Guillaume, à table !",,,,
,,,,,2014 (39th),Alain Guiraudie,Stranger by the Lake,L'Inconnu du lac,,,,
,,,,,2014 (39th),Abdellatif Kechiche,Blue Is the Warmest Colour,La Vie d'Adèle – Chapitres 1 & 2,,,,
,,,,,2015 (40th),Abderrahmane Sissako,Timbuktu,Timbuktu,,,,
,,,,,2015 (40th),Céline Sciamma,Girlhood,Bande de filles,,,,
,,,,,2015 (40th),Thomas Cailley,Love at First Fight,Les Combattants,,,,
,,,,,2015 (40th),Robin Campillo,Eastern Boys,Eastern Boys,,,,
,,,,,2015 (40th),Thomas Lilti,Hippocrates,Hippocrate,,,,
,,,,,2015 (40th),Bertrand Bonello,Saint Laurent,Saint Laurent,,,,
,,,,,2015 (40th),Olivier Assayas,Clouds of Sils Maria,Sils Maria,,,,
,,,,,2016 (41st),,,,,,,
,,,,,2016 (41st),Arnaud Desplechin,My Golden Days,Trois souvenirs de ma jeunesse,,,,
,,,,,2016 (41st),Jacques Audiard,Dheepan,Dheepan,,,,
,,,,,2016 (41st),Stéphane Brizé,The Measure of a Man,La Loi du marché,,,,
,,,,,2016 (41st),Xavier Giannoli,Marguerite,Marguerite,,,,
,,,,,2016 (41st),Maïwenn,Mon roi,Mon roi,,,,
,,,,,2016 (41st),Deniz Gamze Ergüven,Mustang,Mustang,,,,
,,,,,2016 (41st),Emmanuelle Bercot,Standing Tall,La Tête haute,,,,
,,,,,2017 (42nd),,,,,,,
,,,,,2017 (42nd),Xavier Dolan,It's Only the End of the World,Juste la fin du monde,,,,
,,,,,2017 (42nd),Houda Benyamina,Divines,Divines,,,,
,,,,,2017 (42nd),Paul Verhoeven,Elle,Elle,,,,
,,,,,2017 (42nd),François Ozon,Frantz,Frantz,,,,
,,,,,2017 (42nd),Anne Fontaine,The Innocents,Les Innocentes,,,,
,,,,,2017 (42nd),Bruno Dumont,Slack Bay,La Loute,,,,
,,,,,2017 (42nd),Nicole Garcia,From the Land of the Moon,Mal de pierres,,,,
,,,,,2018 (43rd),,,,,,,
,,,,,2018 (43rd),Albert Dupontel,See You Up There,Au revoir là-haut,,,,
,,,,,2018 (43rd),Robin Campillo,BPM (Beats per Minute),120 Battements par minute,,,,
,,,,,2018 (43rd),Mathieu Amalric,Barbara,Barbara,,,,
,,,,,2018 (43rd),Julia Ducournau,Raw,Grave,,,,
,,,,,2018 (43rd),Hubert Charuel,Bloody Milk,Petit Paysan,,,,
,,,,,2018 (43rd),Michel Hazanavicius,Redoubtable,Le Redoutable,,,,
,,,,,2018 (43rd),Éric Toledano and Olivier Nakache,C'est la vie!,Le Sens de la fête,,,,
,,,,,2019 (44th),,,,,,,
,,,,,2019 (44th),Jacques Audiard,The Sisters Brothers,Les Frères Sisters,,,,
